epoch,epoch_seconds,backbone_learning_rate,head_learning_rate,consistency_weight,train_loss,train_classification_loss,train_consistency_loss,train_gradient_norm_before_clip,validation_worst_average_score,validation_mean_average_score,validation_icbhi2017_accuracy,validation_icbhi2017_sensitivity,validation_icbhi2017_specificity,validation_icbhi2017_average_score,validation_icbhi2017_harmonic_score,validation_icbhi2017_score,validation_icbhi2017_macro_f1,validation_icbhi2017_uar,validation_icbhi2017_auroc,validation_icbhi2017_nll,validation_sprsound2022_accuracy,validation_sprsound2022_sensitivity,validation_sprsound2022_specificity,validation_sprsound2022_average_score,validation_sprsound2022_harmonic_score,validation_sprsound2022_score,validation_sprsound2022_macro_f1,validation_sprsound2022_uar,validation_sprsound2022_auroc,validation_sprsound2022_nll
1.0,1528.7927570419852,3.3333333333333333e-06,3.3333333333333335e-05,0.020000000000000004,0.42212865691869816,0.4218534682659393,0.01375942506512845,3.0513051164911147,0.6646439337587597,0.7789737250706343,0.6606498194945848,0.7752808988764045,0.554006968641115,0.6646439337587597,0.6462272486305001,0.6554355911946299,0.6580830696098643,0.6646439337587597,0.717208889584883,0.7085517499636227,0.9170779861796644,0.8502202643171806,0.9363867684478372,0.8933035163825089,0.8912256485867552,0.892264582484632,0.8836460099546026,0.8933035163825089,0.9603580275974936,0.22137827645005384
2.0,1503.6602548749652,6.666666666666667e-06,6.666666666666667e-05,0.04000000000000001,0.32616906394746076,0.3255406944041557,0.015709239654716704,3.0089857913078144,0.7426496496104608,0.8212090879566355,0.7418772563176895,0.7640449438202247,0.7212543554006968,0.7426496496104608,0.7420332639236669,0.7423414567670639,0.741869686908412,0.7426496496104608,0.8019157238121337,0.5794482568433569,0.9052319842053307,0.8898678414096917,0.9096692111959288,0.8997685263028102,0.8996595832152413,0.8997140547590258,0.8725452162516383,0.8997685263028102,0.970642633755927,0.2323450870528773
3.0,1497.5801470000297,1e-05,0.0001,0.06,0.2890038562680971,0.288150015909304,0.014230679480254927,2.6274738874524197,0.6853736835923736,0.7934734600383319,0.6805054151624549,0.8202247191011236,0.5505226480836237,0.6853736835923736,0.6588410019135751,0.6721073427529743,0.6765843763914312,0.6853736835923736,0.8030641141082357,0.6878610199808214,0.9299111549851925,0.8502202643171806,0.9529262086513995,0.9015732364842901,0.8986482076084557,0.9001107220463729,0.8996935984815204,0.9015732364842901,0.971808409276883,0.19115484919401782
4.0,1471.1580960000865,1e-05,0.0001,0.08000000000000002,0.2363521212152146,0.23509704783271523,0.015688415275941767,2.4258294012159745,0.6663860940375054,0.7888739608074111,0.6624548736462094,0.7752808988764045,0.5574912891986062,0.6663860940375054,0.64859148723673,0.6574887906371176,0.6600078107821612,0.6663860940375054,0.7425517754374977,0.7948173304972665,0.9378084896347483,0.8634361233480177,0.9592875318066157,0.9113618275773168,0.9088415627863499,0.9101016951818333,0.9107183077902365,0.9113618275773168,0.9760399502303527,0.16061150094839907
5.0,1221.8836548329564,9.91486549841951e-06,9.91486549841951e-05,0.1,0.2082580255161218,0.20672691500389037,0.015311107780082161,2.2380744538012336,0.7032324576857325,0.8079570948795658,0.7003610108303249,0.7827715355805244,0.6236933797909407,0.7032324576857325,0.6942361935866984,0.6987343256362155,0.6994797657638816,0.7032324576857325,0.7976092602017514,0.7633360301073815,0.9447186574531096,0.8546255506607929,0.9707379134860051,0.9126817320733991,0.9089887467952161,0.9108352394343076,0.9192378218926891,0.9126817320733991,0.9758998329802379,0.17064886298747725
6.0,1195.8529807920568,9.66236114702178e-06,9.662361147021779e-05,0.12,0.18448600868516146,0.1825241355849628,0.016348944178397242,2.114426687581742,0.7051051168617626,0.8056413030924141,0.7021660649819494,0.7865168539325843,0.6236933797909407,0.7051051168617626,0.695705283029344,0.7004051999455533,0.7012305731234986,0.7051051168617626,0.785394563415939,0.789131122940499,0.9200394866732478,0.8810572687224669,0.9312977099236641,0.9061774893230655,0.9054811296248191,0.9058293094739422,0.889586823567406,0.9061774893230655,0.973484211588257,0.1959389288080461
7.0,1195.4824825839605,9.251085678648072e-06,9.251085678648072e-05,0.13999999999999999,0.16326688315070412,0.16094623477857045,0.016576058704583587,1.9979456127423079,0.6412976810345953,0.7689862092274342,0.6353790613718412,0.8052434456928839,0.47735191637630664,0.6412976810345953,0.5993854543974604,0.6203415677160278,0.6280049994681416,0.6412976810345953,0.7731015672917564,1.1486302075389814,0.9417571569595261,0.8149779735682819,0.9783715012722646,0.8966747374202733,0.8892312788891562,0.8929530081547148,0.9127632959818308,0.8966747374202733,0.9733272802681284,0.21057375257534905
