family,member,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
exact,ensemble,sprsound2022,calibration,1038,36,0.9421965317919075,0.9576271186440678,0.9376558603491272,0.9476414894965974,0.9475362674368039,0.9475888784667006,0.9222246643222507,0.9476414894965974,0.9851536413204278,0.2658959537572254
exact,seed20260729,sprsound2022,locked_inter_test,1429,41,0.8600419874037789,0.9820051413881749,0.8144230769230769,0.8982141091556259,0.8903975573880344,0.8943058332718301,0.8434672497119096,0.8982141091556259,0.973942060510184,0.40237928621413577
exact,seed20260730,sprsound2022,locked_inter_test,1429,41,0.9104268719384184,0.961439588688946,0.8913461538461539,0.92639287126755,0.9250670057086596,0.9257299384881048,0.8946500237295476,0.92639287126755,0.9764287126754992,0.34079776067179846
exact,seed20260731,sprsound2022,locked_inter_test,1429,41,0.8439468159552135,0.9845758354755784,0.7913461538461538,0.8879609946608661,0.8774487902715087,0.8827048924661873,0.8276022875493456,0.8879609946608661,0.9747083250939291,0.4198740377886634
exact,ensemble,sprsound2022,locked_inter_test,1429,41,0.8789363191042687,0.9820051413881749,0.8403846153846154,0.9111948783863951,0.9056921111240719,0.9084434947552336,0.862655467264304,0.9111948783863951,0.9814613407158393,0.3834849545136459
exact,seed20260729,sprsound2022,locked_intra_test,1004,160,0.849601593625498,0.9367088607594937,0.809593023255814,0.8731509420076538,0.8685244692619712,0.8708377056348124,0.8387011315093708,0.8731509420076538,0.9584559905799234,0.4252988047808765
exact,seed20260730,sprsound2022,locked_intra_test,1004,160,0.9163346613545816,0.8734177215189873,0.936046511627907,0.9047321165734472,0.903648269410664,0.9041901929920556,0.9033500192529842,0.9047321165734472,0.9690305784515748,0.3187250996015936
exact,seed20260731,sprsound2022,locked_intra_test,1004,160,0.8217131474103586,0.9240506329113924,0.7747093023255814,0.849379967618487,0.8428155224139239,0.8460977450162055,0.8108123187375977,0.849379967618487,0.9460507433029143,0.4452191235059761
exact,ensemble,sprsound2022,locked_intra_test,1004,160,0.8774900398406374,0.9208860759493671,0.8575581395348837,0.8892221077421254,0.8880945976702324,0.8886583527061789,0.8655671853823419,0.8892221077421254,0.9620253164556962,0.38745019920318724
matched-lora,seed20260729,icbhi2017,validation_select,554,12,0.6660649819494585,0.7303370786516854,0.6062717770034843,0.6683044278275849,0.6625464983450983,0.6654254630863417,0.6655844685537156,0.6683044278275849,0.7113886387660024,0.555956678700361
matched-lora,seed20260730,icbhi2017,validation_select,554,12,0.631768953068592,0.7153558052434457,0.554006968641115,0.6346813869422803,0.624426853089339,0.6295541200158097,0.6305362677023263,0.6346813869422803,0.7044982969893905,0.575812274368231
matched-lora,seed20260731,icbhi2017,validation_select,554,12,0.631768953068592,0.7191011235955056,0.5505226480836237,0.6348118858395646,0.6236201048411965,0.6292159953403805,0.6303767660910518,0.6348118858395646,0.6827832804812798,0.5794223826714802
matched-lora,ensemble,icbhi2017,validation_select,554,12,0.6353790613718412,0.7116104868913857,0.5644599303135889,0.6380352086024873,0.6295508467642968,0.6337930276833921,0.6344452719741811,0.6380352086024873,0.7052943402628247,0.5685920577617328
matched-lora,seed20260729,icbhi2017,calibration,561,12,0.6809269162210339,0.7571428571428571,0.604982206405694,0.6810625317742756,0.6725637293322883,0.6768131305532818,0.6791284425655921,0.6810625317742756,0.7575241484494155,0.5757575757575758
matched-lora,seed20260730,icbhi2017,calibration,561,12,0.7254901960784313,0.7535714285714286,0.697508896797153,0.7255401626842908,0.7244571738882903,0.7249986682862906,0.7252938034188035,0.7255401626842908,0.775902389425521,0.5276292335115864
matched-lora,seed20260731,icbhi2017,calibration,561,12,0.7201426024955436,0.75,0.6903914590747331,0.7201957295373665,0.7189623224212478,0.7195790259793071,0.7199147758892086,0.7201957295373665,0.775419420437214,0.5294117647058824
matched-lora,ensemble,icbhi2017,calibration,561,12,0.7183600713012478,0.7607142857142857,0.6761565836298933,0.7184354346720895,0.7159473875085137,0.7171914110903016,0.7178858786983755,0.7184354346720895,0.775775292323335,0.5418894830659536
matched-lora,seed20260729,icbhi2017,locked_test,2873,49,0.6101635920640446,0.6752336448598131,0.5575833857772183,0.6164085153185157,0.6107947124920536,0.6136016139052847,0.6101465415553236,0.6164085153185157,0.6423111382969754,0.5464671075530804
matched-lora,seed20260730,icbhi2017,locked_test,2873,49,0.6038983640793596,0.6892523364485982,0.5349276274386406,0.6120899819436194,0.6023626066746341,0.6072262943091268,0.6038395696835925,0.6120899819436194,0.6447882541381657,0.5652627915071354
matched-lora,seed20260731,icbhi2017,locked_test,2873,49,0.6073790462930735,0.6674454828660437,0.5588420390182505,0.6131437609421471,0.6083346489659128,0.6107392049540299,0.6073333294560344,0.6131437609421471,0.6370442038234043,0.5422902888966238
matched-lora,ensemble,icbhi2017,locked_test,2873,49,0.6080751827358162,0.6752336448598131,0.5538074260541221,0.6145205354569676,0.6085222303708392,0.6115213829139035,0.608067158067158,0.6145205354569676,0.6456312773369877,0.5485555168813088
matched-lora,seed20260729,sprsound2022,validation_select,1013,36,0.8943731490621916,0.8105726872246696,0.9185750636132316,0.8645738754189506,0.8612009672045067,0.8628874213117286,0.8528745461332248,0.8645738754189506,0.945970788355696,0.24481737413622903
matched-lora,seed20260730,sprsound2022,validation_select,1013,36,0.8993089832181639,0.8325991189427313,0.9185750636132316,0.8755870912779815,0.8734765464973371,0.8745318188876593,0.8607616429495473,0.8755870912779815,0.9541312170023877,0.24975320829220138
matched-lora,seed20260731,sprsound2022,validation_select,1013,36,0.8795656465942744,0.8590308370044053,0.8854961832061069,0.872263510105256,0.8720627638452494,0.8721631369752527,0.8405687541281374,0.872263510105256,0.9495185571286052,0.2813425468904245
matched-lora,ensemble,sprsound2022,validation_select,1013,36,0.8953603158933859,0.8370044052863436,0.9122137404580153,0.8746090728721794,0.872992223621351,0.8738006482467652,0.8565309176420288,0.8746090728721794,0.9528869758213673,0.25567620927936824
matched-lora,seed20260729,sprsound2022,calibration,1038,36,0.9248554913294798,0.9449152542372882,0.9189526184538653,0.9319339363455768,0.9317531138563062,0.9318435251009415,0.9004436531045881,0.9319339363455768,0.980636332896572,0.2774566473988439
matched-lora,seed20260730,sprsound2022,calibration,1038,36,0.9200385356454721,0.9533898305084746,0.9102244389027432,0.9318071347056089,0.9313072321605761,0.9315571834330925,0.8952431789635211,0.9318071347056089,0.9796272031784944,0.2861271676300578
matched-lora,seed20260731,sprsound2022,calibration,1038,36,0.8988439306358381,0.9491525423728814,0.8840399002493765,0.916596221311129,0.9154398625825715,0.9160180419468502,0.8705918531878288,0.916596221311129,0.9769855023458303,0.30539499036608864
matched-lora,ensemble,sprsound2022,calibration,1038,36,0.9152215799614644,0.940677966101695,0.9077306733167082,0.9242043197092016,0.9239106822313435,0.9240575009702725,0.8887958237562819,0.9242043197092016,0.9798543894501036,0.28516377649325625
matched-lora,seed20260729,sprsound2022,locked_inter_test,1429,41,0.8397480755773268,0.974293059125964,0.7894230769230769,0.8818580680245205,0.8721691760250809,0.8770136220248007,0.8227946738926191,0.8818580680245205,0.967048151077714,0.4184744576627012
matched-lora,seed20260730,sprsound2022,locked_inter_test,1429,41,0.8453463960811757,0.9794344473007712,0.7951923076923076,0.8873133774965394,0.8777493477894485,0.8825313626429939,0.8286556798914886,0.8873133774965394,0.9693395293652363,0.41567529741077675
matched-lora,seed20260731,sprsound2022,locked_inter_test,1429,41,0.8257522743177047,0.9820051413881749,0.7673076923076924,0.8746564168479336,0.861481244930776,0.8680688308893548,0.8096180547195402,0.8746564168479336,0.9677946410915563,0.4366689993002099
matched-lora,ensemble,sprsound2022,locked_inter_test,1429,41,0.8355493351994402,0.9768637532133676,0.7826923076923077,0.8797780304528376,0.8690643762836344,0.874421203368236,0.8188392310451884,0.8797780304528376,0.9697152461933952,0.42407277816655004
matched-lora,seed20260729,sprsound2022,locked_intra_test,1004,160,0.8256972111553785,0.8924050632911392,0.7950581395348837,0.8437316014130114,0.8409237109805162,0.8423276561967639,0.8126448217140066,0.8437316014130114,0.9419202605239916,0.4213147410358566
matched-lora,seed20260730,sprsound2022,locked_intra_test,1004,160,0.8227091633466136,0.9240506329113924,0.7761627906976745,0.8501067118045335,0.8436749269559572,0.8468908193802454,0.8117735283089613,0.8501067118045335,0.9503468133647336,0.4442231075697211
matched-lora,seed20260731,sprsound2022,locked_intra_test,1004,160,0.7908366533864541,0.930379746835443,0.7267441860465116,0.8285619664409773,0.8160500954834125,0.8223060309621949,0.7816441931274467,0.8285619664409773,0.9421870400353253,0.4800796812749004
matched-lora,ensemble,sprsound2022,locked_intra_test,1004,160,0.8187250996015937,0.9177215189873418,0.7732558139534884,0.8454886664704151,0.8393175784480132,0.8424031224592141,0.8075437199563538,0.8454886664704151,0.9469936708860759,0.4442231075697211
