family,member,ensemble_scope,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,temperature,1.5422992637002977,554,12,0.5459541141063264,0.18336980547325854,0.061315235367322495,-0.11352576039168848,1.1581898509537683
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,raw,1.5422992637002977,561,12,0.575574074785492,0.18469251517402296,0.08103456590686273,-0.09098804949300014,0.651118621159654
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,temperature,1.5422992637002977,561,12,0.5498614577812624,0.1820577335754699,0.07631453916650313,-0.09098804949300011,1.0042197699960875
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,raw,1.5422992637002977,2873,49,0.6845179416014394,0.22839108848745024,0.10769530487697526,-0.2358625502700038,0.46729151223245025
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,temperature,1.5422992637002977,2873,49,0.6349802490968893,0.21899502298152,0.069585929822642,-0.23586255027000363,0.7207033552495066
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,raw,1.1871587623660453,1013,36,0.21359114773823462,0.06545957301148803,0.05663909344534057,-1.062149393388527,0.8785210717739519
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,temperature,1.1871587623660453,1013,36,0.21239298007174787,0.06462440975130172,0.06395685416527551,-1.062149393388527,1.0429439882796565
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,raw,1.1871587623660453,1038,36,0.2030930736692471,0.06097988333523356,0.0833425333337765,-2.1391892424742847,1.0070513519308644
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,temperature,1.1871587623660453,1038,36,0.1992095752985261,0.05995695187766138,0.08871432015286282,-2.1391892424742847,1.1955298365972977
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,raw,1.1871587623660453,1429,41,0.40055022582175887,0.11817255715591445,0.1595919133429356,-108969350.21231186,50005095.11223219
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,temperature,1.1871587623660453,1429,41,0.371920078461335,0.11465510739440705,0.16392460193695327,-3.3831912021207873,1.358467742807496
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,raw,1.1871587623660453,1004,160,0.38423669253718207,0.12210701040788137,0.13933677993383464,-1.8295534045867654,0.8995386465049753
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,temperature,1.1871587623660453,1004,160,0.3644311636113291,0.11818397105612143,0.14092803094920114,-1.8295534045867654,1.067895186285274
