family,member,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
exact,ensemble,sprsound2022,calibration,1038,36,0.9421965317919075,0.9576271186440678,0.9376558603491272,0.9476414894965974,0.9475362674368039,0.9475888784667006,0.9222246643222507,0.9476414894965974,0.9851536413204278,0.2658959537572254
exact,seed20260729,sprsound2022,locked_inter_test,1429,41,0.8600419874037789,0.9820051413881749,0.8144230769230769,0.8982141091556259,0.8903975573880344,0.8943058332718301,0.8434672497119096,0.8982141091556259,0.973942060510184,0.40237928621413577
exact,seed20260730,sprsound2022,locked_inter_test,1429,41,0.9104268719384184,0.961439588688946,0.8913461538461539,0.92639287126755,0.9250670057086596,0.9257299384881048,0.8946500237295476,0.92639287126755,0.9764287126754992,0.34079776067179846
exact,seed20260731,sprsound2022,locked_inter_test,1429,41,0.8439468159552135,0.9845758354755784,0.7913461538461538,0.8879609946608661,0.8774487902715087,0.8827048924661873,0.8276022875493456,0.8879609946608661,0.9747083250939291,0.4198740377886634
exact,ensemble,sprsound2022,locked_inter_test,1429,41,0.8789363191042687,0.9820051413881749,0.8403846153846154,0.9111948783863951,0.9056921111240719,0.9084434947552336,0.862655467264304,0.9111948783863951,0.9814613407158393,0.3834849545136459
exact,seed20260729,sprsound2022,locked_intra_test,1004,160,0.849601593625498,0.9367088607594937,0.809593023255814,0.8731509420076538,0.8685244692619712,0.8708377056348124,0.8387011315093708,0.8731509420076538,0.9584559905799234,0.4252988047808765
exact,seed20260730,sprsound2022,locked_intra_test,1004,160,0.9163346613545816,0.8734177215189873,0.936046511627907,0.9047321165734472,0.903648269410664,0.9041901929920556,0.9033500192529842,0.9047321165734472,0.9690305784515748,0.3187250996015936
exact,seed20260731,sprsound2022,locked_intra_test,1004,160,0.8217131474103586,0.9240506329113924,0.7747093023255814,0.849379967618487,0.8428155224139239,0.8460977450162055,0.8108123187375977,0.849379967618487,0.9460507433029143,0.4452191235059761
exact,ensemble,sprsound2022,locked_intra_test,1004,160,0.8774900398406374,0.9208860759493671,0.8575581395348837,0.8892221077421254,0.8880945976702324,0.8886583527061789,0.8655671853823419,0.8892221077421254,0.9620253164556962,0.38745019920318724
no-js,seed20260729,icbhi2017,validation_select,554,12,0.7346570397111913,0.7415730337078652,0.7282229965156795,0.7348980151117723,0.7348373864635218,0.7348677007876471,0.7345523884026793,0.7348980151117723,0.7971655639509846,0.4981949458483754
no-js,seed20260730,icbhi2017,validation_select,554,12,0.7129963898916968,0.7415730337078652,0.686411149825784,0.7139920917668245,0.712926662097327,0.7134593769320758,0.7129954547676067,0.7139920917668245,0.7819232927481764,0.51985559566787
