coverage,error_risk,uncertainty
0.0018050541516245488,0.0,0.2538220442518803
0.0036101083032490976,0.0,0.274628287987945
0.005415162454873646,0.0,0.30417659349632975
0.007220216606498195,0.0,0.3821248661922658
0.009025270758122744,0.0,0.38417171016892204
0.010830324909747292,0.0,0.38550688013224954
0.01263537906137184,0.0,0.3958043702313461
0.01444043321299639,0.0,0.4208719527161564
0.016245487364620937,0.0,0.4243088755649189
0.018050541516245487,0.0,0.42715927862120634
0.019855595667870037,0.0,0.42848275446655526
0.021660649819494584,0.0,0.43104089883505264
0.023465703971119134,0.0,0.44054674578365405
0.02527075812274368,0.0,0.4433316739930989
0.02707581227436823,0.0,0.4535805001981565
0.02888086642599278,0.0,0.4607524472246349
0.030685920577617327,0.0,0.47105795416675933
0.032490974729241874,0.0,0.47123148425904915
0.03429602888086643,0.0,0.47363948677212175
0.036101083032490974,0.0,0.47481593870656635
0.03790613718411552,0.0,0.4750712544356914
0.039711191335740074,0.0,0.4794546429325108
0.04151624548736462,0.0,0.4838696922824532
0.04332129963898917,0.041666666666666664,0.4941446634946098
0.04512635379061372,0.04,0.5029584990700269
0.04693140794223827,0.038461538461538464,0.5030388706238551
0.048736462093862815,0.037037037037037035,0.5033325500916732
0.05054151624548736,0.03571428571428571,0.5073892881608885
0.052346570397111915,0.034482758620689655,0.5080849036231492
0.05415162454873646,0.03333333333333333,0.5098200874168418
0.05595667870036101,0.03225806451612903,0.5117765998857589
0.05776173285198556,0.03125,0.5132044395192732
0.05956678700361011,0.030303030303030304,0.5149066670441013
0.061371841155234655,0.058823529411764705,0.5191129782140149
0.0631768953068592,0.05714285714285714,0.5241209682978077
0.06498194945848375,0.05555555555555555,0.5275454926119149
0.06678700361010831,0.05405405405405406,0.5339298060598019
0.06859205776173286,0.05263157894736842,0.5368142507511618
0.0703971119133574,0.05128205128205128,0.5371742194464862
0.07220216606498195,0.05,0.5394992927189952
0.0740072202166065,0.07317073170731707,0.5401353797265834
0.07581227436823104,0.07142857142857142,0.5414357528657953
0.0776173285198556,0.06976744186046512,0.542789897123006
0.07942238267148015,0.06818181818181818,0.5443395344710336
0.0812274368231047,0.06666666666666667,0.5466856445109235
0.08303249097472924,0.06521739130434782,0.5480975957763374
0.08483754512635379,0.0851063829787234,0.5488098611707303
0.08664259927797834,0.08333333333333333,0.5488124475978499
0.08844765342960288,0.08163265306122448,0.5521321618190335
0.09025270758122744,0.08,0.55523521033401
0.09205776173285199,0.0784313725490196,0.5554081633596415
0.09386281588447654,0.07692307692307693,0.5559206173261512
0.09566787003610108,0.07547169811320754,0.5579790703363166
0.09747292418772563,0.07407407407407407,0.5593847889780553
0.09927797833935018,0.07272727272727272,0.5613122560462352
0.10108303249097472,0.07142857142857142,0.5660292688859246
0.10288808664259928,0.07017543859649122,0.5715477212465787
0.10469314079422383,0.06896551724137931,0.5734968189608861
0.10649819494584838,0.06779661016949153,0.5788336862324115
0.10830324909747292,0.06666666666666667,0.5804227458762063
0.11010830324909747,0.06557377049180328,0.5807643854435455
0.11191335740072202,0.06451612903225806,0.5826566071700164
0.11371841155234658,0.06349206349206349,0.5833901784641647
0.11552346570397112,0.078125,0.5848756093527392
0.11732851985559567,0.07692307692307693,0.5895169751007466
0.11913357400722022,0.07575757575757576,0.5897877219052896
0.12093862815884476,0.07462686567164178,0.5906766914273218
0.12274368231046931,0.07352941176470588,0.5984385624320518
0.12454873646209386,0.07246376811594203,0.5986508564693401
0.1263537906137184,0.07142857142857142,0.599408207658182
0.12815884476534295,0.07042253521126761,0.6042014013111059
0.1299638989169675,0.08333333333333333,0.6108818431229789
0.13176895306859207,0.0821917808219178,0.6108883647369662
0.13357400722021662,0.08108108108108109,0.6119092594934669
0.13537906137184116,0.09333333333333334,0.6177809905231111
0.1371841155234657,0.09210526315789473,0.6180624504353168
0.13898916967509026,0.09090909090909091,0.6199687667954935
0.1407942238267148,0.08974358974358974,0.6264535567462778
0.14259927797833935,0.10126582278481013,0.6266501334325384
0.1444043321299639,0.1,0.626936440944887
0.14620938628158844,0.09876543209876543,0.6279844841401502
0.148014440433213,0.0975609756097561,0.6291993393508284
0.14981949458483754,0.0963855421686747,0.6315016806278815
0.15162454873646208,0.09523809523809523,0.6358105441509626
0.15342960288808663,0.09411764705882353,0.6386075761904684
0.1552346570397112,0.09302325581395349,0.6393705527412968
0.15703971119133575,0.09195402298850575,0.6449052245560379
0.1588447653429603,0.09090909090909091,0.6520212194552247
0.16064981949458484,0.0898876404494382,0.6532056626387233
0.1624548736462094,0.08888888888888889,0.6533097433634425
0.16425992779783394,0.08791208791208792,0.6533494465976345
0.16606498194945848,0.08695652173913043,0.6564866037359213
0.16787003610108303,0.08602150537634409,0.6572117156842809
0.16967509025270758,0.0851063829787234,0.6578813061627325
0.17148014440433212,0.08421052631578947,0.6582363975173965
0.17328519855595667,0.08333333333333333,0.6589876835519589
0.17509025270758122,0.08247422680412371,0.6620209624550266
0.17689530685920576,0.09183673469387756,0.6643375307334448
0.17870036101083034,0.10101010101010101,0.6663447622525263
0.18050541516245489,0.1,0.6664103335157641
0.18231046931407943,0.09900990099009901,0.6667979267275385
0.18411552346570398,0.09803921568627451,0.6675844981860599
0.18592057761732853,0.0970873786407767,0.6683568262570118
0.18772563176895307,0.09615384615384616,0.6697527683896162
0.18953068592057762,0.09523809523809523,0.6745134827526941
0.19133574007220217,0.09433962264150944,0.6782976750778515
0.1931407942238267,0.09345794392523364,0.6783494069595362
0.19494584837545126,0.09259259259259259,0.6793219865937209
0.1967509025270758,0.09174311926605505,0.6801188140116344
0.19855595667870035,0.09090909090909091,0.6816077328671408
0.2003610108303249,0.09009009009009009,0.6825234369548522
0.20216606498194944,0.08928571428571429,0.6837077221082265
0.20397111913357402,0.08849557522123894,0.6859822535450697
0.20577617328519857,0.08771929824561403,0.6865115461702643
0.2075812274368231,0.08695652173913043,0.687593275320162
0.20938628158844766,0.08620689655172414,0.6878210339731521
0.2111913357400722,0.08547008547008547,0.6888954854301821
0.21299638989169675,0.0847457627118644,0.6913483096647391
0.2148014440433213,0.08403361344537816,0.6936989748752256
0.21660649819494585,0.08333333333333333,0.6937773720606877
0.2184115523465704,0.08264462809917356,0.6944022865502952
0.22021660649819494,0.08196721311475409,0.6944470957943263
0.22202166064981949,0.08130081300813008,0.694582019545319
0.22382671480144403,0.08064516129032258,0.6950765020709668
0.22563176895306858,0.08,0.6963898094031757
0.22743682310469315,0.0873015873015873,0.6995107496953786
0.2292418772563177,0.09448818897637795,0.7016562714725627
0.23104693140794225,0.09375,0.7021333720357612
0.2328519855595668,0.10077519379844961,0.7027412417327248
0.23465703971119134,0.1,0.7035714933634832
0.2364620938628159,0.09923664122137404,0.7045515340029281
0.23826714801444043,0.09848484848484848,0.7059622889946908
0.24007220216606498,0.10526315789473684,0.7078652603776235
0.24187725631768953,0.11194029850746269,0.7090999650736769
0.24368231046931407,0.1111111111111111,0.7103358863032734
0.24548736462093862,0.11029411764705882,0.7111952841410214
0.24729241877256317,0.10948905109489052,0.7123371679993165
0.2490974729241877,0.10869565217391304,0.7145080317648734
0.2509025270758123,0.1079136690647482,0.7159190414416673
0.2527075812274368,0.10714285714285714,0.7191379674846656
0.2545126353790614,0.10638297872340426,0.7267163619249514
0.2563176895306859,0.11267605633802817,0.7277548458487827
0.2581227436823105,0.11188811188811189,0.7286888532856273
0.259927797833935,0.11805555555555555,0.7319542074446471
0.26173285198555957,0.11724137931034483,0.7321916888525581
0.26353790613718414,0.11643835616438356,0.7360739177335947
0.26534296028880866,0.12244897959183673,0.7370733404085754
