family,member,ensemble_scope,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,raw,1.5422992637002977,2873,49,0.6845179416014394,0.2283910884874502,0.1076953048769752,-0.23586255026767608,0.46729151222558485
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,temperature,1.5422992637002977,2873,49,0.6349802490968893,0.21899502298152,0.069585929822642,-0.2358625502676762,0.720703355238918
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,raw,1.1871587623660451,1013,36,0.2135911477382346,0.065459573011488,0.0566390934453405,-1.0621493933885164,0.8785210717739449
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,temperature,1.1871587623660451,1013,36,0.2123929800717478,0.0646244097513017,0.0639568541652755,-1.0621493933885162,1.0429439882796483
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,raw,1.1871587623660451,1038,36,0.2030930736692471,0.0609798833352335,0.0833425333337765,-2.1391892424742824,1.0070513519308637
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,temperature,1.1871587623660451,1038,36,0.1992095752985261,0.0599569518776613,0.0887143201528628,-2.1391892108608896,1.195529822594126
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,raw,1.1871587623660451,1429,41,0.4005502258217588,0.1181725571559144,0.1595919133429356,-3.3831912021207855,1.144301660293545
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,temperature,1.1871587623660451,1429,41,0.371920078461335,0.114655107394407,0.1639246019369532,-3.383191202120785,1.3584677428074954
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,raw,1.1871587623660451,1004,160,0.384236692537182,0.1221070104078813,0.1393367799338346,-1.8295533988695438,0.899538644173853
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,temperature,1.1871587623660451,1004,160,0.3644311636113291,0.1181839710561214,0.1409280309492011,-1.8295533988695436,1.0678951835178618
